content,score,sentiment
mohon donk kembalikan tanda biru hitam saat lihat transaksi  biru masuk hitam keluar,1,0
kenapa sekarang untuk transfer ke blu bca ada biaya admin nya dulu ga ada,2,0
oke terimakasih,5,2
tolong pihak developer untuk update hp saya ga bisa login,5,2
ok,5,2
bintang yg berkata,5,2
good,5,2
memper mudah,5,2
min cara liat bukti tranfer gmna sih kmren sya tf tapi pnding bsok ny liat udah gak ad pending nya tapi liat buktinya gak ada di notif gimna min,1,0
baik,5,2
mantap,5,2
plis bca ini kalau kek gini terus pas di saat urgent malah mbca nya malah ke log out karena nomor tiba tiba gak aktif udh lama make ini atm hilang jadi bergantung ke mbca nya eh malah mbca nya berulah bisa gak ini aturan nomor kalau mati ke log out sendiri susah cok ngaturnya pas kita lagi urgent urgent nya  kali loh udh gini,1,0
rating kembali bintang lima karena update terbaru sudah bisa hapus inbox terima kasih bca,5,2
ok banget ,5,2
mantap,5,2
agak ribet banget sekarang ya tolong dong masa sih mau cek saldo aja sekedar memastikan transferan uang sudah masuk atau belum mesti pake kode otp dan lebih parahnya harus punya pulsa klo gaada pulsa kode otp ga terkirim mempersulit banget mau cek apa melalui mbanking bca biar mempermudah supaya gaperlu ke mesin atm dlu baru bisa tau saldo nya ini malah nguras pulsa terus gmna minkasih solusinya sulit banget kalo harus begini min,2,0
bisa kasih kita uang dan tranfers,4,2
potongan bulanannya kurang jelas,4,2
apk apa iniotp susah tau k blokir mandiri bri gk da kek gitu,1,0
bank bca bangus,5,2
update terus nak tiap bulan fitur katek yang berubah jugo disuruh update teros dak bekesudahan lagi,3,1
sangat membantu,5,2
kenapa mbanking saya tidak jadi sudah potong pulsa tapi tidak di aktifkan mbanking saya kecewa dgn aplikasi ini hanya mau ambil pulsa saya saja saya rugi tau gak  bintang satu buat kalian pelayanan kalian mengecewakan,1,0
kenapa muncul sistem tidak tersedia,3,1
abis update malah gabisa masuk sama sekali ke apps,1,0
tolong perbaiki lagi aplikasinya saya bayar makanan pake qris saldonya kepotong dua kali tapi dana yang masuk di rekening pedagangnya cuma  kali transaksi pertama sempat loading lama terus muncul tampilan blank dan eror ada notif hubungi bca pas saya coba ulang transaksi ke  berhasil dan dananya  kali kepotong,2,0
tampilan pinnya malah di ganti jadi susah di pencet balikin seperti semulaa,1,0
lebih ribet,1,0
mantap ,5,2
setelah update harus registrasi ulang ke mesin atm,1,0
ga bener bca mobile ga ada di layar kaca uninstall playstore abdet,1,0
the system is rigged transfer ke blu sesama bank under bca masih kena biaya admin bukannya pengguna bca dan blu at the same time juga bayar biaya admin what is the selling point if transfering between conventional and digital bank need to pay the admin transfer fee my bca itself can has more features than blu what happened to the selling point of having additional saving digital bank account,1,0
bagus,5,2
bagus,5,2
senang,5,2
sangat nyaman sekali,5,2
kelamaan harus baca yg gk bisa ditutup gak jelas,1,0
sangat luar biasa,5,2
baik,5,2
kenapa saya tidak bisa instal hp saya samsung jpro tidak bisa tertunda instalan  saya mau vertivikasi ulang di bca tidak bisa saya liat di bca ada trinstal samsungfm sedang kan kami dirumah tidak ada yg pakai samsung itu semua nya vivo saya aja yg pakai samsung galaxijpro saya mau minta saran nya cara meng hapus instalan hp itu dari hp saya,5,2
aplikasi yang bagus,5,2
good,5,2
ga bisa di centang kotak nyakenapa ya,5,2
ini kenapa bca mobile gak ada notifikasi transaksi uang masuk,2,0
terlalu jadul  tolong update menjadi lebih bagus,1,0
dari bank lain mbanking bca paling ribet klo mau ganti hp yg lain mudah lho ini sampe hrs ke cs krn verifikasi wajah gagal,1,0
sebelumnya udah pernah pake tapi kebetulan ganti hp dan mau verifikasi lagi pas masuk ke sms udah bisa terkirim tapi ga dapet balesan sama sekali udah dicoba berulang ulang masih sama,4,2
tdk bsa terinstal,3,1
aplikasi bagus cocok untuk menabung,5,2
since the last update i did yesterday everytime i start the app theres a malware caution aprivacyinfostealera is your application here compromised please take note and action for this,2,0
terlalu banyak biaya admin dan dengan nominal tinggi,1,0
untuk pembuatan atm nya respon video call nya lama banget,1,0
system yg membagongkan setiap kali ada dana segar masuk slalu ke makan k gimana critanya itu sangat sangat membagongkan sekali,1,0
mantap,5,2
biometrik verifikasi wajah tolong di perbaiki coba developer nya belajar lagi sama yang bikin aplikasi grab  suami saya daftar grab dari  sampai sekarang gx pernah gagal verifikasi wahah,1,0
baik aman,5,2
sudah seminggu saya gabisa transaksi perihat indikator lampu di pojok kanan selalu merah ga ready dan ini terus terjadi,1,0
terima kasih bca jadi lebih nyaman,5,2
nyaman dan aman,5,2
memudahkan segala transaksi,5,2
tidak bisa centang nambah penerima baru,5,2
udeh bisa di sony xperia ,5,2
gk bisa ke buka lagi tuh aplikasi bca mobile nya udah di verifikasi lewat sms masih tetap saja gk bisa ke buka setiap sms saya bayar pake pulsa masih tetap saja gk bisa ke buka perbaiki bossjadi tercoreng nama baik bca mobile,1,0
ga bisa login alias abis download trus masuk abis mengizinkan yg pertama keluar sendiri masuk lagi abis mengizinkan yg kedua gak keluar tapi lama banget tuh layarnya putih ada tulisan bca nya ampe sejam kali jadi ga bisa make lagi dan terpaksa kalo topup atau transfer lewat atm lagi dah,1,0
tingkatkan lagi pelayanannya ,5,2
sangat menyenagkan ,5,2
bca slalu didepan,5,2
edit ternyata karena pulsa kode gak masuk makasih udah bisa,5,2
good,5,2
oke,5,2
kebanyakan gangguandan selalu ngelegkya pdhal ini bank besar ko punya apl yg ga mutu,1,0
mantapsselalu tingkatkan pelayanan terbaik mudah dan efektif,5,2
bagus banget aplikasi nya,5,2
joss,5,2
ok,5,2
slepet,5,2
terimakasih bca mobile yang sangat membantu,5,2
login d hp baru harus isi lagi nomer atm nya mana harus ada sms tarip pulsa lagi parahh,1,0
good like,5,2
ok,5,2
muradah transper,1,0
terimakasih,4,2
bisa di bantu saya tidak bisa masuk ferivikasi  di kolom pernyataan tidak bisa di centang semua,3,1
abis di update malah gak bisa di buka mbangking saya ,3,1
halo bcakemarin saya login ulang di device baru namun sampai proses verifikasi ulang nomor telepon katanya tidak valid disuruh menghubungi halo bcakemudian saya pembaruan data baru dicabang denpasar katanya harus nunggu  hari kerja semakin hari semakin banyak bug nya nih bca,1,0
mantap aplikasi berjalan lancar tapi kadang agak lelet juga,4,2
mantapp ,5,2
sangat memuaskan,5,2
mantapp,5,2
udah bisa masuklogin tapi kok buat transfer lampu warna biru mulu terus keluar sendiri padahal jaringan bagus,1,0
oke banget,5,2
susah kali menerima kode otp,3,1
mantap selalu bca,5,2
tolong untuk hapus inbox nya di adakan kembalibuat apa coba di hilangin,1,0
wa parah ni setelah di update semakin lelet astaga login bca mobile aja susah bener ,1,0
setiap verifikasi wajah terus aja coba lagi apaan mempersulit transaksi,1,0
layanan oke sangat bagus,5,2
makin parah aja sistem nya minta kode otp di kirim lewat sms aja ga di kirim kirim,1,0
bagaimana cara mengatasi verifikasi sms gagal terus padahal sudah terkirim,2,0
sangat mudah melakukan transaksi apapun cepat dan ter percayadan juga amanah,5,2
kerenn nn mantap pp,5,2
the best ,5,2
ok,5,2
berfungsi sebagaimana fungsinya,5,2
bca slalu ramah tama buat ngurusnya di bank,5,2
gampang transaksi simple mantap pokoke pake bca,5,2
sekelas bank terbesar tampilan aplikasinya masih jadul banget saya punya beberapa app mobile banking dan mohon maaf app ini yang paling sulit serta membosankan saat digunakan,3,1
ribet ganti nomor harus aktivasi lagi scan wajah yg gagal terus belibett,1,0
ok,5,2
sangat membantu mempermudah transaksi kapanpundimanapun,5,2
tombol edit sudah tersedia lagi semoga makin sukses terima kasih ,5,2
mbca ribet bvat skrg buat verifikasi ngapain dipersulit sih,2,0
pokok nya mantap dah,5,2
transfer ke blu kenapa sekarang kena adminpadahal sama produk bca,2,0
saldo pulsa rb saya terbuang sia  sia untuk mendapatkan kode otp log in lagi di hp baru kalau dapet sih kode otp nya tidak apa  apa terpotong dan dan mendapat kode otp nya  ini malahan tidak dapat kode otp nya dari sms yang ada buang cuma cuma saldo pulsa saya ,1,0
siipp  sekarang bca mobile sudah ter update baru  dengan telah ditambahkan kembali tombol edit pada menu transaksinya  sehingga user bisa mengatur file transaksi untuk memilah mana yang perlu disimpan dan tidak nya  gua kasih  bintang  buat update terbarunya  terima kasih bca mobile  jangan jelek lagi yaa  tq  ,5,2
tsk kompitabel di perangkatvsaya knp,5,2
gek,4,2
aplikasi yang sangat membantu good job,5,2
top,5,2
kok milih negara buat otp gak ada indonesia kocak amat,1,0
ok,5,2
mantap,5,2
saya sangat kecewa sekali dgn bca ini saya mengajukan personal loan tanpa angunan dikala saya membutuhkan dana untuk berobat ayah saya dan untuk modal usaha saya kira bca bisa membantu customer yg lagi kesusahan nyatanya tidak dan pengajuan saya ditolak setelah sekian lamanya saya menunggu sekarang ayah saya tidak tertolong yaa pantas saja rating nya buruk ternyata seperti ini pelayanan nya saya benar benar kecewa ,1,0
layanan nya masih tetap bagus terimakasih,5,2
saya buka inbok transfer log out truz semakin menurun bca mbangking,3,1
baik,5,2
sangan membantu  tpi kadang lgi eror bulan² ini,5,2
mantap buruan daftar bca mobile kalian jangan ragu,5,2
recomended,5,2
cept kaya lo jaringan bagus bilang gk ada koneksi trs nydot aja pulsa,1,0
saya baru buka akun disuruh masukkan kode otp namun tidak masuk masuk padahal pulsa sudah saya isi setelah hampir beberapa kali nyoba nunggu otp akhirnya keluar semuanya secara serentak ketika saya ingin memasukkan kode otp kembali akun saya diblokir dan pulsa saya habis apa apaan ini payah,1,0
knp harus ulangsetelah brpa menit,5,2
kok ini ngga bisa di update yaa,4,2
ok,5,2
sangat membatu aktifotas saya,5,2
ko gak bisa kebukajadi eror gini mbanking bca ,5,2
gk kayak dulu sekarang saat verifikasi sms gk bisa masuk ulang malah ngulang awal masuk no atm,4,2
eror  sdh bisa di tangani dibantu oleh bca wa si obet,5,2
aplikasi tolol susah banget daftarnya centang yang atas yang bawah kosong  centangyang bawah yang atas kosong,1,0
minta nonaktif aksesbilitas sudah di non aktif tetap saja keluar tulisan matikan aksesibilitas rusak nih aplikasinya perbaiki dong saya tidak bisa akses rekening saya nih maaf saya tidak punya twitter kalau via email bisa,1,0
kenapa saya tidak bisa doulot aplikasi bca mobile,1,0
mau nanya kalau tabunganku bca bisa buat ebankingbca banking ngga,5,2
tidak ada masalah d aplksi bca hanya saja perlu di tingkatakan untuk pelayanan whatsapp bca karyawan bernama ifka di wa bca  ditanya hanya membalas sangat disayangkan atas kendala yang terjadi ditnya jg balik tnya apakah tidak ada dimutasi rekening kecewa bank pelayanan kryawan wa bca yg bernama ifka  trima kshmaaf,4,2
good job,5,2
keren,5,2
sukses selalu,5,2
sangat membantu,5,2
kak sya kirim pake qris gagal tp uangnya ilanggmana ini kak,1,0
setelah update kenapa gk bisa masuk ya setiap kali masuk mncul tulisan semenatara transaksi tidak dapat diproses silahkan ulangi beberapa saat lagi setiap hari selalu begitu,1,0
aplikasi gak guna giliran dibutuhkan error terus ,1,0
memuaskan,5,2
ini yang buat protokol keamanan logika nya di pake gak sih jika kehabisan quota internet transaksi cuma bisa di lakukan dengan koneksi dari simcard terdaftar sedangkan pakai theatring perangkat lain juga ga bisa transaksi terus cara ngisi ulang quotanya gimana coba ini cara kolot yang ga relevan di jaman yang serba canggih  efisien generasi gaptek udah saatnya untuk mundur deh kalian memang udah gak bisa selaras dengan jaman ini,1,0
top,5,2
dear developer knp smp skrg ini app ga bs keluarin notif kalo ada transfer masuk bank lain sdh dr jaman jebot sdh bssy yg ga tau settingny dmn update akhirnya tahun  trf masuk ada notifny gw developer ,5,2
kurang bagus tiap mo tf sllu merah teruslampu hijau nya lama,2,0
sorry udah uninstall karena udah ga gratis tf ke blu ga guna pake my bca klo ke blu udah berbayar,1,0
sekelas bca kog aplikasi nya kaya gini nutup sendiriharus login lagilagilagipayah sudah updateterbaru masih begini,1,0
pembuat aplikasinya payah aplikasi ngebug dibeberapa devicediturunin versi bisa login begitu aktivasi sms dipaksa suruh updatediupdate gak bisa masuk malah blank putih gak bisa aktivasi,1,0
saya mau daftar bca mobile tapi gada balesan dari sms nya saya gunakan kartu xl ditunggu utk solusi nya,1,0
sangat membantu,5,2
cepat dan tepat,5,2
tidak tau kenapa bca mobile kok selalu ada potongan yang tidak jelas yak,3,1
hati yg tertimpa penipuan investasi yg rekening pelakunya ada d bcabca takkan proses investigasi rekening jika polres tdk keluarkan surat blokir rekeningdr polres sdh keluar srt tanda laporbkn surat blokir rekening tanpa adanya dasar pemblokiran berupa surat hasil investigasi rekening pelaku oleh tim investigasi bca yg ditujukan ke polrestp tdk diakui bcakasus ini sy alami sendiridokumen bukti transaksi penipuan sdh dilimpahkan ke ktr cabang bca tp akan percumatdk diproses lbh lanjut,1,0
cek mutasi hanya bisa mentok  hari belakang diupgrade lagi dong supaya bisa cek mutasi bebas pilih waktu dan bisakah diupgrade aksesibilitas sidik jari supaya bisa lebih praktis untuk log in,3,1
malam min mau tanya tadi sore aku tf uang  kerekening bri rekening temanku tapi koq uangnya belum masuk ya padahal di mutasi rekening udah ada rinciannya itu kenapa ya,3,1
saya beralih ke mybca dan ke blu bca digital,5,2
bagus,4,2
